Tempo,velocidade
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,"4,8"
22,"9,5"
23,"13,8"
24,"18,5"
25,23
26,"27,2"
27,"27,8"
28,"29,1"
29,"33,3"
30,"34,9"
31,36
32,"36,2"
33,"35,6"
34,"34,6"
35,"33,6"
36,"32,8"
37,"31,9"
38,"27,4"
39,24
40,24
41,"24,5"
42,"24,9"
43,"25,7"
44,"27,5"
45,"30,7"
46,34
47,"36,5"
48,"36,9"
49,"36,5"
50,"36,4"
51,"34,3"
52,"30,6"
53,"27,5"
54,"25,4"
55,"25,4"
56,"28,5"
57,"31,9"
58,"34,8"
59,"37,3"
60,"38,9"
61,"39,6"
62,"40,1"
63,"40,2"
64,"39,6"
65,"39,4"
66,"39,8"
67,"39,9"
68,"39,8"
69,"39,6"
70,"39,6"
71,"40,4"
72,"41,2"
73,"41,4"
74,"40,9"
75,"40,1"
76,"40,2"
77,"40,9"
78,"41,8"
79,"41,8"
80,"41,4"
81,42
82,43
83,"44,3"
84,46
85,"47,2"
86,48
87,"48,4"
88,"48,9"
89,"49,4"
90,"49,4"
91,"49,1"
92,"48,9"
93,"48,8"
94,"48,9"
95,"49,6"
96,"48,9"
97,"48,1"
98,"47,5"
99,48
100,"48,8"
101,"49,4"
102,"49,7"
103,"49,9"
104,"49,7"
105,"48,9"
106,48
107,"48,1"
108,"48,6"
109,"49,4"
110,"50,2"
111,"51,2"
112,"51,8"
113,"52,1"
114,"51,8"
115,51
116,46
117,"40,7"
118,"35,4"
119,"30,1"
120,"24,8"
121,"19,5"
122,"14,2"
123,"8,9"
124,"3,5"
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,"5,3"
165,"10,6"
166,"15,9"
167,"21,2"
168,"26,6"
169,"31,9"
170,"35,7"
171,"39,1"
172,"41,5"
173,"42,5"
174,"41,4"
175,"40,4"
176,"39,8"
177,"40,2"
178,"40,6"
179,"40,9"
180,"41,5"
181,"43,8"
182,"42,6"
183,"38,6"
184,"36,5"
185,"31,2"
186,"28,5"
187,"27,7"
188,"29,1"
189,"29,9"
190,"32,2"
191,"35,7"
192,"39,4"
193,"43,9"
194,"49,1"
195,"53,9"
196,"58,3"
197,60
198,"63,2"
199,"65,2"
200,"67,8"
201,70
202,"72,6"
203,74
204,"75,3"
205,"76,4"
206,"76,4"
207,"76,1"
208,76
209,"75,6"
210,"75,6"
211,"75,6"
212,"75,6"
213,"75,6"
214,76
215,"76,3"
216,"77,1"
217,"78,1"
218,79
219,"79,7"
220,"80,5"
221,"81,4"
222,"82,1"
223,"82,9"
224,84
225,"85,6"
226,"87,1"
227,"87,9"
228,"88,4"
229,"88,5"
230,"88,4"
231,"87,9"
232,"87,9"
233,"88,2"
234,"88,7"
235,"89,3"
236,"89,6"
237,"90,3"
238,"90,6"
239,"91,1"
240,"91,2"
241,"91,2"
242,"90,9"
243,"90,9"
244,"90,9"
245,"90,9"
246,"90,9"
247,"90,9"
248,"90,8"
249,"90,3"
250,"89,8"
251,"88,7"
252,"87,9"
253,"87,2"
254,"86,9"
255,"86,4"
256,"86,3"
257,"86,7"
258,"86,9"
259,"87,1"
260,"87,1"
261,"86,6"
262,"85,9"
263,"85,3"
264,"84,7"
265,"83,8"
266,"84,3"
267,"83,7"
268,"83,5"
269,"83,2"
270,"82,9"
271,83
272,"83,4"
273,"83,8"
274,"84,5"
275,"85,3"
276,"86,1"
277,"86,9"
278,"88,4"
279,"89,2"
280,"89,5"
281,"90,1"
282,"90,1"
283,"89,8"
284,"88,8"
285,"87,7"
286,"86,3"
287,"84,5"
288,"82,9"
289,"82,9"
290,"82,9"
291,83
292,"83,4"
293,"83,8"
294,"84,5"
295,"85,3"
296,"86,1"
297,"86,9"
298,"88,4"
299,"89,2"
"299,5",85
300,79
301,"78,2"
302,"77,4"
303,76
304,"74,2"
305,"72,4"
306,"70,5"
